GEOID10,FID,BDNAME,BDNUM,TEXT_NBR,GEO_ID,NAME_x,P003001,P003002,P003003,P003004,P003005,P003006,P003007,P003008,P005001,P005002,P005003,P005004,P005005,P005006,P005007,P005008,P005009,P005010,P005011,P005012,P005013,P005014,P005015,P005016,P005017
270531040003013,18,Como,37,37,1000000US270531040003013,"Block 3013, Block Group 3, Census Tract 1040, Hennepin County, Minnesota",76,69,0,4,0,0,0,3,76,68,64,0,3,0,0,0,1,8,5,0,1,0,0,0,2
270531040003019,18,Como,37,37,1000000US270531040003019,"Block 3019, Block Group 3, Census Tract 1040, Hennepin County, Minnesota",92,81,2,0,3,1,1,4,92,90,80,2,0,3,1,0,4,2,1,0,0,0,0,1,0
270531040005037,18,Como,37,37,1000000US270531040005037,"Block 5037, Block Group 5, Census Tract 1040, Hennepin County, Minnesota",78,60,0,9,6,0,0,3,78,73,60,0,4,6,0,0,3,5,0,0,5,0,0,0,0
270531040005031,18,Como,37,37,1000000US270531040005031,"Block 5031, Block Group 5, Census Tract 1040, Hennepin County, Minnesota",84,66,3,6,6,0,0,3,84,79,64,3,4,6,0,0,2,5,2,0,2,0,0,0,1
270531040003010,18,Como,37,37,1000000US270531040003010,"Block 3010, Block Group 3, Census Tract 1040, Hennepin County, Minnesota",85,56,12,0,16,0,1,0,85,84,55,12,0,16,0,1,0,1,1,0,0,0,0,0,0
270531040002017,18,Como,37,37,1000000US270531040002017,"Block 2017, Block Group 2, Census Tract 1040, Hennepin County, Minnesota",171,162,3,0,0,0,2,4,171,167,161,3,0,0,0,0,3,4,1,0,0,0,0,2,1
270531040002010,18,Como,37,37,1000000US270531040002010,"Block 2010, Block Group 2, Census Tract 1040, Hennepin County, Minnesota",227,44,150,1,24,0,3,5,227,222,42,150,1,24,0,0,5,5,2,0,0,0,0,3,0
270531040002008,18,Como,37,37,1000000US270531040002008,"Block 2008, Block Group 2, Census Tract 1040, Hennepin County, Minnesota",195,161,1,1,28,0,1,3,195,194,161,1,1,28,0,0,3,1,0,0,0,0,0,1,0
270531040004003,18,Como,37,37,1000000US270531040004003,"Block 4003, Block Group 4, Census Tract 1040, Hennepin County, Minnesota",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270531040001018,18,Como,37,37,1000000US270531040001018,"Block 1018, Block Group 1, Census Tract 1040, Hennepin County, Minnesota",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270531040001034,18,Como,37,37,1000000US270531040001034,"Block 1034, Block Group 1, Census Tract 1040, Hennepin County, Minnesota",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270531040001032,18,Como,37,37,1000000US270531040001032,"Block 1032, Block Group 1, Census Tract 1040, Hennepin County, Minnesota",83,78,0,0,3,0,0,2,83,82,77,0,0,3,0,0,2,1,1,0,0,0,0,0,0
270531040001040,18,Como,37,37,1000000US270531040001040,"Block 1040, Block Group 1, Census Tract 1040, Hennepin County, Minnesota",122,80,23,0,12,0,1,6,122,120,79,23,0,12,0,0,6,2,1,0,0,0,0,1,0
270531040001020,18,Como,37,37,1000000US270531040001020,"Block 1020, Block Group 1, Census Tract 1040, Hennepin County, Minnesota",141,84,26,0,17,0,3,11,141,138,83,25,0,17,0,3,10,3,1,1,0,0,0,0,1
270531040001031,18,Como,37,37,1000000US270531040001031,"Block 1031, Block Group 1, Census Tract 1040, Hennepin County, Minnesota",77,70,4,0,1,0,0,2,77,76,69,4,0,1,0,0,2,1,1,0,0,0,0,0,0
270531040001027,18,Como,37,37,1000000US270531040001027,"Block 1027, Block Group 1, Census Tract 1040, Hennepin County, Minnesota",136,113,5,6,5,0,5,2,136,126,110,5,6,5,0,0,0,10,3,0,0,0,0,5,2
270531040002012,18,Como,37,37,1000000US270531040002012,"Block 2012, Block Group 2, Census Tract 1040, Hennepin County, Minnesota",157,30,115,2,1,0,3,6,157,156,29,115,2,1,0,3,6,1,1,0,0,0,0,0,0
270531040002000,18,Como,37,37,1000000US270531040002000,"Block 2000, Block Group 2, Census Tract 1040, Hennepin County, Minnesota",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270531040001030,18,Como,37,37,1000000US270531040001030,"Block 1030, Block Group 1, Census Tract 1040, Hennepin County, Minnesota",116,103,1,3,7,0,1,1,116,114,102,1,3,7,0,0,1,2,1,0,0,0,0,1,0
270531040002007,18,Como,37,37,1000000US270531040002007,"Block 2007, Block Group 2, Census Tract 1040, Hennepin County, Minnesota",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270531040003018,18,Como,37,37,1000000US270531040003018,"Block 3018, Block Group 3, Census Tract 1040, Hennepin County, Minnesota",62,59,1,0,0,0,0,2,62,62,59,1,0,0,0,0,2,0,0,0,0,0,0,0,0
270531040005034,18,Como,37,37,1000000US270531040005034,"Block 5034, Block Group 5, Census Tract 1040, Hennepin County, Minnesota",86,77,3,0,4,0,0,2,86,86,77,3,0,4,0,0,2,0,0,0,0,0,0,0,0
270531040005033,18,Como,37,37,1000000US270531040005033,"Block 5033, Block Group 5, Census Tract 1040, Hennepin County, Minnesota",71,61,1,0,7,0,0,2,71,71,61,1,0,7,0,0,2,0,0,0,0,0,0,0,0
270531040003001,18,Como,37,37,1000000US270531040003001,"Block 3001, Block Group 3, Census Tract 1040, Hennepin County, Minnesota",64,57,1,1,0,0,1,4,64,62,57,1,1,0,0,0,3,2,0,0,0,0,0,1,1
270531040001036,18,Como,37,37,1000000US270531040001036,"Block 1036, Block Group 1, Census Tract 1040, Hennepin County, Minnesota",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270531040001041,18,Como,37,37,1000000US270531040001041,"Block 1041, Block Group 1, Census Tract 1040, Hennepin County, Minnesota",156,69,52,16,9,0,1,9,156,145,65,52,12,9,0,1,6,11,4,0,4,0,0,0,3
