STATEFP10,COUNTYFP10,TRACTCE10,BLOCKCE10,GEOID10,NAME10,MTFCC10,UR10,UACE10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,LONGITUDE,LATITUDE
36,085,018902,1010,360850189021010,Block 1010,G5040,,,S,      15852,          0,+40.6063609,-074.1434626,                  -74.1434626000,                   40.6063609000
36,085,025100,3013,360850251003013,Block 3013,G5040,,,S,      17288,          0,+40.6127464,-074.1474274,                  -74.1474274000,                   40.6127464000
36,085,027301,1000,360850273011000,Block 1000,G5040,,,S,       6201,          0,+40.6089643,-074.1484561,                  -74.1484561000,                   40.6089643000
36,085,025100,2004,360850251002004,Block 2004,G5040,,,S,      10409,          0,+40.6206343,-074.1480648,                  -74.1480648000,                   40.6206343000
36,085,025100,1004,360850251001004,Block 1004,G5040,,,S,      49604,          0,+40.6236431,-074.1453083,                  -74.1453083000,                   40.6236431000
36,085,025100,2008,360850251002008,Block 2008,G5040,,,S,      24076,          0,+40.6196182,-074.1463025,                  -74.1463025000,                   40.6196182000
36,085,029104,3011,360850291043011,Block 3011,G5040,,,S,      17300,          0,+40.6118207,-074.1612148,                  -74.1612148000,                   40.6118207000
36,085,018100,1002,360850181001002,Block 1002,G5040,,,S,        873,          0,+40.5986100,-074.1309138,                  -74.1309138000,                   40.5986100000
36,085,027301,2024,360850273012024,Block 2024,G5040,,,S,      65944,       1177,+40.5974530,-074.1455932,                  -74.1455932000,                   40.5974530000
36,085,018702,3010,360850187023010,Block 3010,G5040,,,S,      10113,          0,+40.6012235,-074.1219504,                  -74.1219504000,                   40.6012235000
36,085,018901,1028,360850189011028,Block 1028,G5040,,,S,       9917,          0,+40.6103437,-074.1375783,                  -74.1375783000,                   40.6103437000
36,085,020100,2000,360850201002000,Block 2000,G5040,,,S,      56908,          0,+40.6234474,-074.1344865,                  -74.1344865000,                   40.6234474000
36,085,020700,1001,360850207001001,Block 1001,G5040,,,S,      13140,          0,+40.6413786,-074.1324071,                  -74.1324071000,                   40.6413786000
36,085,020700,4004,360850207004004,Block 4004,G5040,,,S,       9027,          0,+40.6389793,-074.1318892,                  -74.1318892000,                   40.6389793000
36,085,020700,4012,360850207004012,Block 4012,G5040,,,S,       8309,          0,+40.6371931,-074.1317710,                  -74.1317710000,                   40.6371931000
36,085,020700,4017,360850207004017,Block 4017,G5040,,,S,       6773,          0,+40.6368087,-074.1308083,                  -74.1308083000,                   40.6368087000
