STATEFP10,COUNTYFP10,TRACTCE10,BLOCKCE10,GEOID10,NAME10,MTFCC10,UR10,UACE10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,LONGITUDE,LATITUDE
36,085,016901,1010,360850169011010,Block 1010,G5040,,,S,      13674,          0,+40.6112770,-074.1211783,                  -74.1211783000,                   40.6112770000
36,085,016901,1011,360850169011011,Block 1011,G5040,,,S,      15928,          0,+40.6114104,-074.1196964,                  -74.1196964000,                   40.6114104000
36,085,016901,1019,360850169011019,Block 1019,G5040,,,S,      11914,          0,+40.6108576,-074.1180255,                  -74.1180255000,                   40.6108576000
36,085,004000,1006,360850040001006,Block 1006,G5040,,,S,       9272,          0,+40.6084391,-074.0835908,                  -74.0835908000,                   40.6084391000
36,085,002001,1011,360850020011011,Block 1011,G5040,,,S,       3203,          0,+40.6087513,-074.0753541,                  -74.0753541000,                   40.6087513000
36,085,004000,4000,360850040004000,Block 4000,G5040,,,S,      42621,          0,+40.6157686,-074.0762277,                  -74.0762277000,                   40.6157686000
36,085,000600,2006,360850006002006,Block 2006,G5040,,,S,      17801,          0,+40.6127056,-074.0636639,                  -74.0636639000,                   40.6127056000
36,085,006700,3003,360850067003003,Block 3003,G5040,,,S,      14408,          0,+40.6339257,-074.1013619,                  -74.1013619000,                   40.6339257000
36,085,006700,1012,360850067001012,Block 1012,G5040,,,S,      10661,          0,+40.6342525,-074.1027924,                  -74.1027924000,                   40.6342525000
36,085,006700,1004,360850067001004,Block 1004,G5040,,,S,      21753,          0,+40.6347708,-074.1010530,                  -74.1010530000,                   40.6347708000
36,085,006700,3006,360850067003006,Block 3006,G5040,,,S,      15279,          0,+40.6328813,-074.1019638,                  -74.1019638000,                   40.6328813000
36,085,015100,3000,360850151003000,Block 3000,G5040,,,S,       9796,          0,+40.6199755,-074.1259995,                  -74.1259995000,                   40.6199755000
36,085,015100,5001,360850151005001,Block 5001,G5040,,,S,       5401,          0,+40.6153850,-074.1246501,                  -74.1246501000,                   40.6153850000
