name,P003001,P003002,P003003,P003004,P003005,P003006,P003007,P003008,P005001,P005002,P005003,P005004,P005005,P005006,P005007,P005008,P005009,P005010,P005011,P005012,P005013,P005014,P005015,P005016,P005017,P003001_pct,P003002_pct,P003003_pct,P003004_pct,P003005_pct,P003006_pct,P003007_pct,P003008_pct,P005001_pct,P005002_pct,P005003_pct,P005004_pct,P005005_pct,P005006_pct,P005007_pct,P005008_pct,P005009_pct,P005010_pct,P005011_pct,P005012_pct,P005013_pct,P005014_pct,P005015_pct,P005016_pct,P005017_pct
CCD1,57447,33179,12728,284,5702,96,1910,3548,57447,52091,30747,12446,139,5618,88,266,2787,5356,2432,282,145,84,8,1644,761,1.0,0.5775584451755531,0.22156074294567166,0.004943687224746288,0.09925670618134977,0.0016711055407593086,0.033248037321357074,0.06176127561056278,1.0,0.9067662367051369,0.5352237714763173,0.2166518704196912,0.0024196215642244157,0.09779448883318537,0.0015318467456960328,0.0046303549358539175,0.048514282730168674,0.09323376329486309,0.04233467369923582,0.004908872525980469,0.0025240656605218723,0.001462217348164395,0.00013925879506327573,0.02861768238550316,0.013246992880394102
CCD2,57094,17386,9383,301,22458,162,4510,2894,57094,48675,14719,9088,148,22339,146,222,2013,8419,2667,295,153,119,16,4288,881,1.0,0.3045153606333415,0.16434301327635129,0.005272007566469331,0.39335131537464535,0.002837425999229341,0.07899253862052054,0.05068833852944268,1.0,0.8525414229165937,0.2578029214978807,0.15917609556170526,0.0025922163449749536,0.391267033313483,0.002557186394367184,0.0038883245174624304,0.035257645286720145,0.14745857708340632,0.04671243913546082,0.005166917714646022,0.002679791221494378,0.0020842820611622938,0.00028023960486215716,0.07510421410305812,0.015430693242722528
CCD3,57196,17378,22047,408,9845,142,3868,3508,57196,49508,14996,21622,214,9746,127,207,2596,7688,2382,425,194,99,15,3661,912,1.0,0.30383243583467373,0.38546401846282957,0.007133365969648227,0.17212742149800686,0.00248269109727953,0.06762710679068466,0.0613329603468774,1.0,0.8655850059444716,0.2621861668648157,0.3780334289111127,0.003741520386040982,0.17039653122595985,0.0022204349954542276,0.0036191342051891742,0.045387789355899016,0.13441499405552837,0.041646268969858034,0.0074305895517169035,0.003391845583607245,0.0017308902720469964,0.00026225610182530247,0.0640079725854955,0.01594517099097839
CCD4,54691,26119,10004,377,10714,285,3732,3460,54691,46415,22945,9701,216,10583,279,196,2495,8276,3174,303,161,131,6,3536,965,1.0,0.4775740066921431,0.1829185789252345,0.0068932731162348465,0.19590060521840888,0.005211095061344645,0.06823791848750252,0.06326452249913149,1.0,0.8486771132361814,0.4195388637984312,0.17737836207054178,0.003949461520176994,0.19350532994459782,0.005101387796895285,0.0035837706386791244,0.045619937466859266,0.15132288676381855,0.05803514289371194,0.005540216854692729,0.002943811596057852,0.0023952752738110477,0.00010970726444936095,0.0646541478488234,0.01764458503227222
CCD5,54681,16335,8863,857,10737,276,14827,2786,54681,28666,7762,8436,249,10639,257,110,1213,26015,8573,427,608,98,19,14717,1573,1.0,0.2987326493663247,0.16208555073974507,0.0156727199575721,0.1963570527239809,0.00504745706918308,0.271154514365136,0.050950055778058195,1.0,0.5242405954536311,0.14195058612680822,0.15427662259285674,0.004553684095023866,0.19456483970666227,0.004699987198478447,0.0020116676725005027,0.022183208061301002,0.47575940454636895,0.15678206323951646,0.0078089281468883154,0.011119035862548234,0.0017922130173186298,0.0003474698707046323,0.26914284669263544,0.028766847716757193
CCD6,54547,12568,23704,380,3925,549,10282,3139,54547,36175,6737,23105,119,3844,505,108,1757,18372,5831,599,261,81,44,10174,1382,1.0,0.23040680514052103,0.43456102077107817,0.006966469283370304,0.0719562945716538,0.010064714833079729,0.18849799255687755,0.05754670284341944,1.0,0.6631895429629494,0.12350816726859405,0.4235796652428181,0.0021816048545291217,0.07047133664546171,0.009258071021321063,0.001979943901589455,0.03221075402863586,0.3368104570370506,0.10689863787192697,0.010981355528260033,0.004784864428841183,0.0014849579261920912,0.0008066438117586668,0.1865180486552881,0.02533594881478358
CCD7,55284,12062,22789,433,2449,712,14291,2548,55284,30259,3470,22283,129,2377,679,101,1220,25025,8592,506,304,72,33,14190,1328,1.0,0.21818247594240647,0.41221691628680995,0.007832284205194993,0.04429853122060633,0.012878952318934954,0.25850155560379134,0.04608928442225599,1.0,0.5473373851385572,0.06276680413862962,0.40306417770060055,0.0023334056869980463,0.042996165255770206,0.012282034585051733,0.0018269300340062224,0.022067867737500906,0.4526626148614427,0.15541567180377686,0.009152738586209392,0.005498878518196947,0.001302365964836119,0.0005969177338832212,0.2566746255697851,0.024021416684755083
