GEOID10,name
60019820001006,CCD3
60014026001042,CCD3
60014026001017,CCD3
60014026001024,CCD3
60014027001017,CCD3
60014026001008,CCD3
60019820001018,CCD3
60014026001034,CCD3
60014031001015,CCD3
60019832001020,CCD3
60019832001012,CCD3
60019832001027,CCD3
60019832001035,CCD3
60014029001031,CCD3
60019832001034,CCD3
60014033001037,CCD3
60014026001041,CCD3
60014014002002,CCD3
60014014002011,CCD3
60014017001054,CCD3
60014014002012,CCD3
60014022002014,CCD3
60014036001003,CCD3
60014036001005,CCD3
60014014003028,CCD3
60014014003020,CCD3
60014014003030,CCD3
60014028001000,CCD3
60014013001012,CCD3
60014029001003,CCD3
60014035011008,CCD3
60014025001016,CCD3
60014035013004,CCD3
60014017003053,CCD3
60014017003002,CCD3
60014018001009,CCD3
60014018001008,CCD3
60014035011005,CCD3
60014035011019,CCD3
60014013002001,CCD3
60014013003002,CCD3
60014013002010,CCD3
60014013003007,CCD3
60014035011022,CCD3
60014013003010,CCD3
60014029001009,CCD3
60014105001049,CCD3
60014025001012,CCD3
60014025002001,CCD3
60014025001005,CCD3
60014013001033,CCD3
60014035012019,CCD3
60014024002004,CCD3
60014013002014,CCD3
60014017003016,CCD3
60019832001037,CCD3
60014027002018,CCD3
60014027001029,CCD3
60014027001028,CCD3
60014026001011,CCD3
60014026001012,CCD3
60014028001012,CCD3
60014022003001,CCD3
60014027002012,CCD3
60014037011004,CCD3
60014024001014,CCD3
60019819001000,CCD3
60014035011020,CCD3
60014037012002,CCD3
60014036003004,CCD3
60014017001044,CCD3
60014017001064,CCD3
60014017002019,CCD3
60014017002023,CCD3
60014017002024,CCD3
60019820001025,CCD3
60014035012007,CCD3
60014037011005,CCD3
60014035013010,CCD3
60014035013008,CCD3
60014035012013,CCD3
60014040001007,CCD3
60014035013015,CCD3
60014035022003,CCD3
60014036001002,CCD3
60014035012014,CCD3
60014024002003,CCD3
60014015003004,CCD3
60014015001021,CCD3
60014015002002,CCD3
60014015001020,CCD3
60014017001041,CCD3
60014016001010,CCD3
60014016002011,CCD3
60014105001020,CCD3
60019832001005,CCD3
60019832001018,CCD3
60014028002029,CCD3
60019820001002,CCD3
60014027002022,CCD3
60014027002025,CCD3
60014026001016,CCD3
60014026001027,CCD3
60019820001032,CCD3
60014031001022,CCD3
60014031001023,CCD3
60014027001030,CCD3
60014028001007,CCD3
60014031001004,CCD3
60014026001035,CCD3
60014028002031,CCD3
60014022001007,CCD3
60014017002030,CCD3
60014018002009,CCD3
60014018002007,CCD3
