STATEFP10,COUNTYFP10,TRACTCE10,BLOCKCE10,GEOID10,NAME10,MTFCC10,UR10,UACE10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,LONGITUDE,LATITUDE
36,085,017700,6006,360850177006006,Block 6006,G5040,,,S,      26964,          0,+40.6043050,-074.1040451,                  -74.1040451000,                   40.6043050000
36,085,017700,2011,360850177002011,Block 2011,G5040,,,S,       6907,          0,+40.6016720,-074.0972116,                  -74.0972116000,                   40.6016720000
36,085,017700,2000,360850177002000,Block 2000,G5040,,,S,      30230,          0,+40.6042841,-074.0934280,                  -74.0934280000,                   40.6042841000
36,085,017700,2003,360850177002003,Block 2003,G5040,,,S,       8997,          0,+40.6032032,-074.0951324,                  -74.0951324000,                   40.6032032000
36,085,017700,2008,360850177002008,Block 2008,G5040,,,S,      14441,          0,+40.6011502,-074.0946033,                  -74.0946033000,                   40.6011502000
36,085,005000,1012,360850050001012,Block 1012,G5040,,,S,       9232,          0,+40.6014092,-074.0921466,                  -74.0921466000,                   40.6014092000
36,085,012804,1008,360850128041008,Block 1008,G5040,,,S,      12466,          0,+40.5655975,-074.1017211,                  -74.1017211000,                   40.5655975000
36,085,012804,1009,360850128041009,Block 1009,G5040,,,S,      12780,          0,+40.5643757,-074.1028418,                  -74.1028418000,                   40.5643757000
36,085,011202,3011,360850112023011,Block 3011,G5040,,,S,     111897,          0,+40.5703793,-074.0894441,                  -74.0894441000,                   40.5703793000
36,085,012804,2010,360850128042010,Block 2010,G5040,,,S,      12888,          0,+40.5639857,-074.1020993,                  -74.1020993000,                   40.5639857000
36,085,011202,2011,360850112022011,Block 2011,G5040,,,S,       8809,          0,+40.5730350,-074.0956058,                  -74.0956058000,                   40.5730350000
36,085,011202,2006,360850112022006,Block 2006,G5040,,,S,      11892,          0,+40.5740270,-074.0946691,                  -74.0946691000,                   40.5740270000
36,085,011202,3024,360850112023024,Block 3024,G5040,,,S,      10805,          0,+40.5712914,-074.0950237,                  -74.0950237000,                   40.5712914000
36,085,011202,3006,360850112023006,Block 3006,G5040,,,S,       9983,          0,+40.5737807,-074.0926862,                  -74.0926862000,                   40.5737807000
36,085,011202,3019,360850112023019,Block 3019,G5040,,,S,       6268,          0,+40.5717632,-074.0912624,                  -74.0912624000,                   40.5717632000
36,085,005000,3021,360850050003021,Block 3021,G5040,,,S,       4664,          0,+40.6023843,-074.0827990,                  -74.0827990000,                   40.6023843000
36,085,014606,2011,360850146062011,Block 2011,G5040,,,S,        880,          0,+40.5559044,-074.1400638,                  -74.1400638000,                   40.5559044000
36,085,009602,1014,360850096021014,Block 1014,G5040,,,S,      19331,          0,+40.5900974,-074.0933181,                  -74.0933181000,                   40.5900974000
36,085,005000,1010,360850050001010,Block 1010,G5040,,,S,      31214,          0,+40.6017798,-074.0878783,                  -74.0878783000,                   40.6017798000
36,085,011401,2006,360850114012006,Block 2006,G5040,,,S,      10704,          0,+40.5849633,-074.1009462,                  -74.1009462000,                   40.5849633000
36,085,013204,3013,360850132043013,Block 3013,G5040,,,S,       9153,          0,+40.5603541,-074.1330617,                  -74.1330617000,                   40.5603541000
36,085,013204,3019,360850132043019,Block 3019,G5040,,,S,       8300,          0,+40.5588660,-074.1347724,                  -74.1347724000,                   40.5588660000
36,085,018100,1002,360850181001002,Block 1002,G5040,,,S,        873,          0,+40.5986100,-074.1309138,                  -74.1309138000,                   40.5986100000
36,085,017700,4015,360850177004015,Block 4015,G5040,,,S,      25568,          0,+40.5924306,-074.1033525,                  -74.1033525000,                   40.5924306000
36,085,002002,1012,360850020021012,Block 1012,G5040,,,S,       2318,          0,+40.6032588,-074.0692161,                  -74.0692161000,                   40.6032588000
36,085,015601,3013,360850156013013,Block 3013,G5040,,,S,      15948,          0,+40.5398085,-074.1522107,                  -74.1522107000,                   40.5398085000
36,085,005000,3004,360850050003004,Block 3004,G5040,,,S,          0,      30492,+40.6035950,-074.0798355,                  -74.0798355000,                   40.6035950000
36,085,011201,2023,360850112012023,Block 2023,G5040,,,S,      61102,          0,+40.5740583,-074.0848126,                  -74.0848126000,                   40.5740583000
36,085,014606,2005,360850146062005,Block 2005,G5040,,,S,     107830,          0,+40.5563393,-074.1443612,                  -74.1443612000,                   40.5563393000
36,085,017700,3022,360850177003022,Block 3022,G5040,,,S,       7037,          0,+40.5976846,-074.1013030,                  -74.1013030000,                   40.5976846000
36,085,017700,3008,360850177003008,Block 3008,G5040,,,S,      15900,          0,+40.5957980,-074.1021669,                  -74.1021669000,                   40.5957980000
36,085,009602,2003,360850096022003,Block 2003,G5040,,,S,      13885,          0,+40.5904907,-074.0990790,                  -74.0990790000,                   40.5904907000
36,085,009602,2002,360850096022002,Block 2002,G5040,,,S,      15569,          0,+40.5895168,-074.0971722,                  -74.0971722000,                   40.5895168000
36,085,011401,1000,360850114011000,Block 1000,G5040,,,S,       6206,          0,+40.5880009,-074.0977579,                  -74.0977579000,                   40.5880009000
36,085,011402,3007,360850114023007,Block 3007,G5040,,,S,      12923,          0,+40.5820697,-074.1091231,                  -74.1091231000,                   40.5820697000
36,085,014605,2007,360850146052007,Block 2007,G5040,,,S,       8410,          0,+40.5567306,-074.1473580,                  -74.1473580000,                   40.5567306000
36,085,014605,2000,360850146052000,Block 2000,G5040,,,S,      15501,          0,+40.5587856,-074.1452735,                  -74.1452735000,                   40.5587856000
36,085,013203,3001,360850132033001,Block 3001,G5040,,,S,      15576,          0,+40.5516801,-074.1420225,                  -74.1420225000,                   40.5516801000
36,085,013203,1007,360850132031007,Block 1007,G5040,,,S,      11699,          0,+40.5532781,-074.1402049,                  -74.1402049000,                   40.5532781000
36,085,013203,3004,360850132033004,Block 3004,G5040,,,S,      21003,          0,+40.5500175,-074.1401685,                  -74.1401685000,                   40.5500175000
36,085,017700,5006,360850177005006,Block 5006,G5040,,,S,       6623,          0,+40.6096463,-074.0987759,                  -74.0987759000,                   40.6096463000
36,085,005000,2009,360850050002009,Block 2009,G5040,,,S,      17246,          0,+40.6071467,-074.0905706,                  -74.0905706000,                   40.6071467000
36,085,017700,2010,360850177002010,Block 2010,G5040,,,S,       9553,          0,+40.6015216,-074.0963751,                  -74.0963751000,                   40.6015216000
36,085,017700,2014,360850177002014,Block 2014,G5040,,,S,      23624,          0,+40.5993966,-074.0966270,                  -74.0966270000,                   40.5993966000
36,085,017700,2015,360850177002015,Block 2015,G5040,,,S,      25563,          0,+40.5990707,-074.0958272,                  -74.0958272000,                   40.5990707000
36,085,017700,2017,360850177002017,Block 2017,G5040,,,S,      10391,          0,+40.6003950,-074.0938120,                  -74.0938120000,                   40.6003950000
