STATEFP10,COUNTYFP10,TRACTCE10,BLOCKCE10,GEOID10,NAME10,MTFCC10,UR10,UACE10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,LONGITUDE,LATITUDE
36,085,020801,1003,360850208011003,Block 1003,G5040,,,S,      19858,          0,+40.5535713,-074.2147081,                  -74.2147081000,                   40.5535713000
36,085,020801,1007,360850208011007,Block 1007,G5040,,,S,      10683,          0,+40.5539296,-074.2174156,                  -74.2174156000,                   40.5539296000
36,085,020801,1011,360850208011011,Block 1011,G5040,,,S,      36518,          0,+40.5523761,-074.2144967,                  -74.2144967000,                   40.5523761000
36,085,022800,1025,360850228001025,Block 1025,G5040,,,S,      80147,          0,+40.5650866,-074.1714634,                  -74.1714634000,                   40.5650866000
36,085,022800,1012,360850228001012,Block 1012,G5040,,,S,          0,     113646,+40.5787651,-074.1969741,                  -74.1969741000,                   40.5787651000
36,085,017008,1002,360850170081002,Block 1002,G5040,,,S,      11679,          0,+40.5625466,-074.1759158,                  -74.1759158000,                   40.5625466000
36,085,022600,4018,360850226004018,Block 4018,G5040,,,S,     147618,          0,+40.5226380,-074.2317046,                  -74.2317046000,                   40.5226380000
36,085,024800,1014,360850248001014,Block 1014,G5040,,,S,      67307,          0,+40.5097374,-074.2534256,                  -74.2534256000,                   40.5097374000
36,085,024800,2014,360850248002014,Block 2014,G5040,,,S,      30306,          0,+40.5106165,-074.2452521,                  -74.2452521000,                   40.5106165000
36,085,024800,2008,360850248002008,Block 2008,G5040,,,S,      28248,          0,+40.5130657,-074.2457877,                  -74.2457877000,                   40.5130657000
36,085,024402,2004,360850244022004,Block 2004,G5040,,,S,      22021,          0,+40.5027910,-074.2452158,                  -74.2452158000,                   40.5027910000
36,085,024402,1012,360850244021012,Block 1012,G5040,,,S,      22883,          0,+40.5038624,-074.2398482,                  -74.2398482000,                   40.5038624000
36,085,022600,4003,360850226004003,Block 4003,G5040,,,S,      48164,          0,+40.5245519,-074.2210369,                  -74.2210369000,                   40.5245519000
36,085,017009,3012,360850170093012,Block 3012,G5040,,,S,       9462,          0,+40.5478326,-074.1891108,                  -74.1891108000,                   40.5478326000
36,085,019800,2016,360850198002016,Block 2016,G5040,,,S,      25203,          0,+40.5182447,-074.2077218,                  -74.2077218000,                   40.5182447000
36,085,017005,1032,360850170051032,Block 1032,G5040,,,S,      22558,          0,+40.5413350,-074.1832458,                  -74.1832458000,                   40.5413350000
36,085,020804,1013,360850208041013,Block 1013,G5040,,,S,      17231,          0,+40.5378593,-074.2015135,                  -74.2015135000,                   40.5378593000
36,085,017008,3019,360850170083019,Block 3019,G5040,,,S,      11712,          0,+40.5505707,-074.1795839,                  -74.1795839000,                   40.5505707000
36,085,017012,1000,360850170121000,Block 1000,G5040,,,S,      73428,          0,+40.5592921,-074.1724291,                  -74.1724291000,                   40.5592921000
36,085,017012,1014,360850170121014,Block 1014,G5040,,,S,      18420,          0,+40.5544382,-074.1744398,                  -74.1744398000,                   40.5544382000
36,085,017012,2009,360850170122009,Block 2009,G5040,,,S,      12566,          0,+40.5523694,-074.1735525,                  -74.1735525000,                   40.5523694000
36,085,017012,2017,360850170122017,Block 2017,G5040,,,S,      18243,          0,+40.5501755,-074.1735069,                  -74.1735069000,                   40.5501755000
36,085,017012,1010,360850170121010,Block 1010,G5040,,,S,      14724,          0,+40.5586300,-074.1704541,                  -74.1704541000,                   40.5586300000
36,085,017012,1016,360850170121016,Block 1016,G5040,,,S,      14691,          0,+40.5550706,-074.1696590,                  -74.1696590000,                   40.5550706000
36,085,024401,1003,360850244011003,Block 1003,G5040,,,S,        599,          0,+40.5084320,-074.2486030,                  -74.2486030000,                   40.5084320000
36,085,017010,1006,360850170101006,Block 1006,G5040,,,S,       1929,          0,+40.5535731,-074.2017968,                  -74.2017968000,                   40.5535731000
36,085,017010,2004,360850170102004,Block 2004,G5040,,,S,      14336,          0,+40.5553377,-074.1958017,                  -74.1958017000,                   40.5553377000
36,085,022600,1024,360850226001024,Block 1024,G5040,,,S,      92995,          0,+40.5274295,-074.2287888,                  -74.2287888000,                   40.5274295000
36,085,022600,4021,360850226004021,Block 4021,G5040,,,S,      72260,          0,+40.5208665,-074.2261688,                  -74.2261688000,                   40.5208665000
36,085,020801,3003,360850208013003,Block 3003,G5040,,,S,      21639,          0,+40.5449991,-074.2176835,                  -74.2176835000,                   40.5449991000
36,085,020804,1018,360850208041018,Block 1018,G5040,,,S,      17062,          0,+40.5358248,-074.2005993,                  -74.2005993000,                   40.5358248000
36,085,020803,2021,360850208032021,Block 2021,G5040,,,S,      23877,          0,+40.5343595,-074.2058840,                  -74.2058840000,                   40.5343595000
36,085,020803,3010,360850208033010,Block 3010,G5040,,,S,      35548,          0,+40.5283955,-074.2029918,                  -74.2029918000,                   40.5283955000
36,085,020803,3004,360850208033004,Block 3004,G5040,,,S,      87275,          0,+40.5279300,-074.2094523,                  -74.2094523000,                   40.5279300000
36,085,020803,3008,360850208033008,Block 3008,G5040,,,S,      11804,          0,+40.5291715,-074.2053921,                  -74.2053921000,                   40.5291715000
36,085,019800,2018,360850198002018,Block 2018,G5040,,,S,      17513,          0,+40.5189258,-074.2059204,                  -74.2059204000,                   40.5189258000
36,085,024401,2004,360850244012004,Block 2004,G5040,,,S,      16445,          0,+40.5058694,-074.2401523,                  -74.2401523000,                   40.5058694000
36,085,019800,4044,360850198004044,Block 4044,G5040,,,S,      12080,          0,+40.5186068,-074.1965908,                  -74.1965908000,                   40.5186068000
36,085,020803,2010,360850208032010,Block 2010,G5040,,,S,      22941,          0,+40.5378859,-074.2104419,                  -74.2104419000,                   40.5378859000
36,085,017009,3013,360850170093013,Block 3013,G5040,,,S,      11322,          0,+40.5472740,-074.1897295,                  -74.1897295000,                   40.5472740000
36,085,017010,4005,360850170104005,Block 4005,G5040,,,S,      19654,          0,+40.5477749,-074.1923783,                  -74.1923783000,                   40.5477749000
36,085,015602,4011,360850156024011,Block 4011,G5040,,,S,      19058,          0,+40.5302340,-074.1601672,                  -74.1601672000,                   40.5302340000
36,085,020804,2018,360850208042018,Block 2018,G5040,,,S,      17134,          0,+40.5378407,-074.1988041,                  -74.1988041000,                   40.5378407000
36,085,020804,2017,360850208042017,Block 2017,G5040,,,S,      17620,          0,+40.5371645,-074.1984763,                  -74.1984763000,                   40.5371645000
36,085,020803,3013,360850208033013,Block 3013,G5040,,,S,      76823,          0,+40.5264730,-074.2137863,                  -74.2137863000,                   40.5264730000
